Q_ID,Year,Subject,Sub_Topic,Question,Opt_A,Opt_B,Opt_C,Opt_D,Correct_Answer,Correct_Option_Text,Explanation,Difficulty,Question_Type,Repeats_In,Zone
BPSC_64_011,2018,Modern History,,भगत सिंह की उम्र कितनी थी जब उन्होंने सरकार के विरोध में असेंबली में बम फेंका था?,21 साल,21 साल से थोड़ा ज्यादा,25 वर्ष,25 साल से थोड़ा ज्यादा,B,21 साल से थोड़ा ज्यादा,,Medium,MCQ,,
BPSC_64_012,2018,Modern History,,जलियांवाला बाग नरसंहार किस गांधीवादी सत्याग्रह के संदर्भ में हुआ था?,स्वदेशी सत्याग्रह,रौलट सत्याग्रह,बारडोली सत्याग्रह,व्यक्तिगत सत्याग्रह,B,रौलट सत्याग्रह,,Medium,MCQ,,
BPSC_64_013,2018,Modern History,,अंग्रेजों के विरुद्ध 1857 के विद्रोह में कुँवर सिंह कहाँ शामिल हुए?,आरा,पटना,बेतिया,वाराणसी,A,आरा,,Medium,MCQ,,
BPSC_64_014,2018,Modern History,,आदिवासियों ने किस क्षेत्र में अंग्रेजों के विरुद्ध विद्रोह किया था?,बिहार,पंजाब,सिंध,काठियावाड़,A,बिहार,,Medium,MCQ,,
BPSC_64_016,2018,Modern History,,निम्नलिखित में से कौन सा भारत में महात्मा गांधी का पहला सत्याग्रह था?,अहमदाबाद,बारडोली,चंपारण,व्यक्ति,C,चंपारण,,Medium,MCQ,,
BPSC_64_017,2018,Modern History,,गांधीजी के असहयोग आंदोलन ने लोगों से शराब से बचने का आग्रह किया। इससे सरकार को राजस्व की गंभीर हानि हुई। एक प्रांत की सरकार ने लोगों को फिर से शराब पीना शुरू करने के लिए प्रेरित करने के लिए शराब पीने वाले प्रमुख व्यक्तियों की एक सूची प्रसारित की। प्रांत का नाम बताएं.,आंध्र प्रदेश,बिहार,बंबई,गुजरात,B,बिहार,,Medium,MCQ,,
BPSC_64_018,2018,Modern History,,नमक सत्याग्रह के दौरान बिहार में लोगों ने नमक बनाने के अलावा किस कर का विरोध कर सरकार का विरोध किया?,चौकीदारी,हाथी,विकास,मालबा,A,चौकीदारी,,Medium,MCQ,,
BPSC_64_019,2018,Modern History,,फरवरी 1938 में बिहार की निर्वाचित सरकार ने किस कारण से इस्तीफा दे दिया?,युद्ध में भारत की भागीदारी,गांधीजी के आह्वान पर अंग्रेजों के विरुद्ध सत्याग्रह,अंग्रेजों द्वारा लगाये जा रहे उच्च कर,राजनीतिक बंदियों की रिहाई हेतु,D,राजनीतिक बंदियों की रिहाई हेतु,,Medium,MCQ,,
BPSC_64_020,2018,Bihar Special,,बिहार किसान सभा से कौन जुड़ा था?,स्वामी सहजानंद,कार्यानन्द शर्मा,राहुल सांकृत्यायन,यदुनंदन शर्मा,E,उपरोक्त में से कोई नहीं/उपर्युक्त में से एक से अधिक उत्तर दिखाएँ/छिपाएँ,,Medium,MCQ,,
BPSC_64_021,2018,General Studies,,"12 मीटर लंबे, 9 मीटर चौड़े और 8 मीटर ऊंचे कमरे में लगाए जा सकने वाले सबसे लंबे खंभे की लंबाई है",864 मीटर,10 मीटर,17 मीटर,43 मीटर,C,17 मीटर,,Medium,MCQ,,
BPSC_64_022,2018,General Studies,,"150 मीटर लंबी एक ट्रेन, 144 किमी/घंटा की गति से उत्तर दिशा की ओर बढ़ते हुए, 250 मीटर लंबे पुल को पार कर सकती है",20 सेकंड,100 सेकंड,45 सेकंड,10 सेकंड,D,10 सेकंड,,Medium,MCQ,,
BPSC_64_023,2018,General Studies,,1 से 50 के बीच कितनी अभाज्य संख्याएँ हैं?,17,15,14,16,B,15,,Medium,MCQ,,
BPSC_64_024,2018,General Studies,,"यदि x = , तो 9x 2 – 3x – 11 के बराबर है",-13,13,-5,-17,C,-5,,Medium,MCQ,,
BPSC_64_025,2018,General Studies,,"एक परीक्षा में, प्रत्येक उम्मीदवार ने हिंदी या इतिहास या दोनों लिया। 66% ने हिंदी और 59% ने इतिहास लिया। उम्मीदवारों की कुल संख्या 3000 थी। कितने उम्मीदवारों ने हिंदी और इतिहास दोनों लिया?",500,750,542,738,B,750,,Medium,MCQ,,
BPSC_64_026,2018,General Studies,,"यदि है, तो x का मान है",35/73,525/933,205/403,135/233,A,35/73,,Medium,MCQ,,
BPSC_64_027,2018,General Studies,,"यदि x + (1/y) = 1 और y + (1/z) = 1, तो z + (1/x) का मान है",एक्स-y,1,ज्ञात नहीं/गिनने योग्य नहीं,2,B,1,,Medium,MCQ,,
BPSC_64_028,2018,General Studies,,4 बहनों की औसत आयु 7 वर्ष है। यदि हम माँ की आयु जोड़ दें तो औसत 6 वर्ष बढ़ जाता है। माँ की आयु ज्ञात कीजिये.,46 वर्ष,39 वर्ष,37 वर्ष,47 वर्ष,C,37 वर्ष,,Medium,MCQ,,
BPSC_64_029,2018,General Studies,,"यदि 3 x+8 = 27 2x+1 है, तो x का मान है",90,1,-1,10,B,1,,Medium,MCQ,,
BPSC_64_030,2018,General Studies,,"यदि , तो S है",(बी)56,,111,115,D,115,,Medium,MCQ,,
BPSC_64_031,2018,Science,,निम्नलिखित में से किसका pH मान 7 है?,शुद्ध पानी,तटस्थ समाधान,मूल समाधान,अम्लीय घोल,E,उपरोक्त में से कोई नहीं/उपर्युक्त में से एक से अधिक उत्तर दिखाएँ/छिपाएँ,,Medium,MCQ,,
BPSC_64_032,2018,Science,,निम्नलिखित में से किस तत्व में न्यूट्रॉन नहीं है?,ऑक्सीजन,नाइट्रोजन,हाइड्रोजन,ताँबा,C,हाइड्रोजन,,Medium,MCQ,,
BPSC_64_033,2018,Economy,,एंगस्ट्रॉम किसकी इकाई है?,तरंग दैर्ध्य,ऊर्जा,आवृत्ति,वेग,A,तरंग दैर्ध्य,,Medium,MCQ,,
BPSC_64_034,2018,General Studies,,आवृत्ति को मापा जाता है,हेटर्स,मीटर/सेकंड,कांति,वाट,A,हेटर्स,,Medium,MCQ,,
BPSC_64_035,2018,Science,,डीएनए की खोज किसने की?,जेम्स वॉटसन और फ्रांसिस क्रिक,ग्रेगर मेंडल,जोहानसन,हरगोविंद खुराना,E,उपरोक्त में से कोई नहीं/उपर्युक्त में से एक से अधिक उत्तर दिखाएँ/छिपाएँ,,Medium,MCQ,,
BPSC_64_036,2018,Geography,,ट्राइग्लिसराइड क्या है?,प्रोटीन,कार्बोहाइड्रेट,मोटा,खनिज,C,मोटा,,Medium,MCQ,,
BPSC_64_037,2018,General Studies,,इलेक्ट्रोएन्सेफलोग्राम (ईईजी) का उपयोग निगरानी में किया जाता है,दिल,जिगर,अग्न्याशय,दिमाग,D,दिमाग,,Medium,MCQ,,
BPSC_64_038,2018,General Studies,,शरीर का तापमान किसके द्वारा नियंत्रित होता है?,चेतक,हाइपोथेलेमस,सेरिबैलम,मज्जा,B,हाइपोथेलेमस,,Medium,MCQ,,
BPSC_64_039,2018,Science,,सही कथन चुनें.,लाल प्रकाश की तरंगदैर्ध्य बैंगनी प्रकाश से कम होती है।,लाल प्रकाश की तरंगदैर्ध्य बैंगनी प्रकाश से अधिक होती है।,बैंगनी प्रकाश की तरंगदैर्घ्य हरे प्रकाश से अधिक होती है।,बैंगनी प्रकाश की तरंगदैर्घ्य पीले प्रकाश से अधिक होती है।,B,लाल प्रकाश की तरंगदैर्ध्य बैंगनी प्रकाश से अधिक होती है।,,Medium,MCQ,,
BPSC_64_040,2018,General Studies,,फ़ारेनहाइट पैमाने में 40 डिग्री सेल्सियस का मान है,104°F,100 डिग्री फ़ारेनहाइट,102 डिग्री फ़ारेनहाइट,75°F,A,104°F,,Medium,MCQ,,
BPSC_64_041,2018,General Studies,,विद्युत शक्ति की इकाई है,एम्पेयर,वाल्ट,कूलम्ब,वाट,D,वाट,,Medium,MCQ,,
BPSC_64_042,2018,Science,,विद्युत मोटर में,ऊष्मा विद्युत ऊर्जा में परिवर्तित हो जाती है,विद्युत ऊर्जा ऊष्मा में परिवर्तित हो जाती है,विद्युत ऊर्जा को यांत्रिक ऊर्जा में परिवर्तित किया जाता है,यांत्रिक ऊर्जा को विद्युत ऊर्जा में परिवर्तित किया जाता है,C,विद्युत ऊर्जा को यांत्रिक ऊर्जा में परिवर्तित किया जाता है,,Medium,MCQ,,
BPSC_64_043,2018,General Studies,,मानव शरीर में शामिल है,लगभग 70% पानी,20%-30% पानी,10%-20% पानी,30%-40% पानी,A,लगभग 70% पानी,,Medium,MCQ,,
BPSC_64_044,2018,General Studies,,विद्युत धारा मापने का उपकरण है,वाल्टमीटर,एम्मिटर,वोल्टामीटर,तनाव नापने का यंत्र,B,एम्मिटर,,Medium,MCQ,,
BPSC_64_045,2018,Environment,,ग्रीनहाउस गैसों का मुख्य घटक है,कार्बन डाईऑक्साइड,मीथेन नाइट्रस ऑक्साइड,,ओजोन,E,उपरोक्त में से कोई नहीं/उपर्युक्त में से एक से अधिक उत्तर दिखाएँ/छिपाएँ,,Medium,MCQ,,
BPSC_64_046,2018,Science,,आइंस्टीन को नोबेल पुरस्कार मिला,सापेक्षता,बोस-आइंस्टीन संघनन,द्रव्यमान-ऊर्जा तुल्यता,फोटोइलेक्ट्रिक प्रभाव,D,फोटोइलेक्ट्रिक प्रभाव,,Medium,MCQ,,
BPSC_64_047,2018,Science,,कोशिका का पावरहाउस है,कोशिका भित्ति,माइटोकांड्रिया,राइबोसोम,नाभिक,B,माइटोकांड्रिया,,Medium,MCQ,,
BPSC_64_048,2018,Science,,एड्स किसके कारण होता है?,पानी,जीवाणु,वायरस,कुकुरमुत्ता,C,वायरस,,Medium,MCQ,,
BPSC_64_049,2018,General Studies,,आर्द्रता मापने के लिए किस उपकरण का प्रयोग किया जाता है?,हाइड्रोमीटर,आर्द्रतामापी,उष्णता के कारण वस्तुओं का प्रसार नापने का यंत्र,लाकटोमिटेर,B,आर्द्रतामापी,,Medium,MCQ,,
BPSC_64_050,2018,General Studies,,दबाव की इकाई क्या है?,न्यूटन/वर्ग. मीटर,न्यूटन-मीटर,न्यूटन,न्यूटन/मीटर,A,न्यूटन/वर्ग. मीटर,,Medium,MCQ,,
BPSC_64_051,2018,General Studies,,भारत की रक्षा मंत्री श्रीमती. अक्टूबर 2018 के पहले सप्ताह में निर्मला सीतारमण ने किस देश की तीन दिवसीय यात्रा की?,रूस,कजाखस्तान,यूक्रेन,चीन,B,कजाखस्तान,,Medium,MCQ,,
BPSC_64_052,2018,Polity,,निम्नलिखित में से किस देश की संसद ने अक्टूबर 2018 में आंग सान सू की की मानद नागरिकता को खारिज कर दिया?,यूएसए,यूनाइटेड किंगडम,नॉर्वे,कनाडा,D,कनाडा,,Medium,MCQ,,
BPSC_64_053,2018,General Studies,,निम्नलिखित में से कौन सा NAFTA से संबद्ध नहीं है?,ग्रेट ब्रिटेन,कनाडा,मेक्सिको,यूएसए,A,ग्रेट ब्रिटेन,,Medium,MCQ,,
BPSC_64_054,2018,General Studies,,सितंबर 2018 में भारत ने किस देश के साथ 'मोबिलाइज़ फोर सिटी' समझौते पर हस्ताक्षर किए हैं?,स्वीडन,जर्मनी,जापान,फ्रांस,D,फ्रांस,,Medium,MCQ,,
BPSC_64_055,2018,General Studies,,विदेश मंत्री श्रीमती ने कहां? सुषमा स्वराज ने अगस्त 2018 में 'पाणिनी भाषा प्रयोगशाला' का उद्घाटन किया?,श्रीलंका,दक्षिण अफ़्रीका,मॉरीशस,इंडोनेशिया,C,मॉरीशस,,Medium,MCQ,,
BPSC_64_056,2018,Science,,अगस्त 2018 में किस देश ने भारतीय मूल के प्रवासियों के लिए 'मानव अंग प्रत्यारोपण कानून' बनाया?,यूनाइटेड किंगडम,कनाडा,यूएसए,सिंगापुर,A,यूनाइटेड किंगडम,,Medium,MCQ,,
BPSC_64_057,2018,Polity,,नवंबर 2017 में हुए राष्ट्रपति चुनाव में एमर्सन मनांगाग्वा को किस देश का राष्ट्रपति चुना गया?,युगांडा,केन्या,ज़िम्बाब्वे,घाना,C,ज़िम्बाब्वे,,Medium,MCQ,,
BPSC_64_058,2018,General Studies,,"20 जुलाई, 2018 को किस देश ने दो वर्ष बाद आपातकाल समाप्त किया?",इराक,सीरिया,टर्की,यमन,C,टर्की,,Medium,MCQ,,
BPSC_64_059,2018,General Studies,,जून 2018 में पोलियो के प्रकोप के कारण निम्नलिखित में से किस देश ने आपातकाल की घोषणा की?,पापुआ न्यू गिनी,फ़िजी,फिलिपींस,माली,A,पापुआ न्यू गिनी,,Medium,MCQ,,
BPSC_64_060,2018,General Studies,,"29 सितंबर, 2018 को भारत ने बांग्लादेश को हराकर कितनी बार क्रिकेट एशिया कप जीता?",छह बार,सात बार,आठ बार,नौ बार,B,सात बार,,Medium,MCQ,,
BPSC_64_061,2018,General Studies,,"18वें एशियाई खेल, 2018 (जकार्ता) में भारत द्वारा जीते गए पदकों का सही क्रम निम्नलिखित में से कौन सा है? . सोना चाँदी कांस्य कुल",15         21        33             69,15   32   22 69,15 30 24 69,15         24        30           69,D,15         24        30           69,,Medium,MCQ,,
BPSC_64_062,2018,General Studies,,अगस्त 2018 में एटीएफ के रूप में जैव ईंधन का उपयोग करने वाली पहली भारतीय एयरलाइन कंपनी कौन सी है?,जेट एयरवेज़,विस्तारा,एयर इंडिया,स्पाइसजेट,D,स्पाइसजेट,,Medium,MCQ,,
BPSC_64_063,2018,Economy,,"जून 2018 में, विश्व बैंक ने भारत की महत्वाकांक्षी योजना 'अटल भूजल योजना' के लिए कितनी राशि स्वीकृत की है?","5,000 करोड़ रु","6,000 करोड़ रु","7,000 करोड़ रु","8,000 करोड़ रु",B,"6,000 करोड़ रु",,Medium,MCQ,,
BPSC_64_064,2018,Ancient History,,"आईआईटी, खड़गपुर अध्ययन समूह की रिपोर्ट के अनुसार सिंधु घाटी सभ्यता के पतन का कारण कितने वर्षों तक लगातार कम वर्षा थी?",600 वर्ष,700 वर्ष,800 वर्ष,900 वर्ष,D,900 वर्ष,,Medium,MCQ,,
BPSC_64_065,2018,Geography,,"फरवरी 2018 में जारी भारतीय वन स्थिति रिपोर्ट के अनुसार, भारत का कितना क्षेत्र वनों से आच्छादित है?",23.00%,23-40%,24.00%,24-40%,D,24-40%,,Medium,MCQ,,
BPSC_64_066,2018,General Studies,,"जनवरी 2018 में, किस भारतीय राज्य ने लोगों को पेड़ों के साथ भाई-बहन का मानवीय रिश्ता स्थापित करने की अनुमति दी?",असम,सिक्किम,नगालैंड,मणिपुर,B,सिक्किम,,Medium,MCQ,,
BPSC_64_067,2018,Bihar Special,,"'स्वच्छ सर्वेक्षण ग्रामीण, 2018' के अनुसार किस जिले ने प्रथम स्थान हासिल किया?",गया-बिहार,तूतीकोरिन-तमिलनाडु,सतारा-महाराष्ट्र,मेरठ-यूपी,C,सतारा-महाराष्ट्र,,Medium,MCQ,,
BPSC_64_068,2018,Current Affairs,,सितंबर 2018 में भारत में शुरू की गई किस योजना को दुनिया की सबसे बड़ी बीमा योजना के रूप में मान्यता दी गई?,प्रधानमंत्री जन आरोग्य योजना,प्रधानमंत्री जन स्वास्थ्य योजना,प्रधानमंत्री फसल बीमा योजना,प्रधानमंत्री जनधन योजना,A,प्रधानमंत्री जन आरोग्य योजना,,Medium,MCQ,,
BPSC_64_069,2018,General Studies,,सितंबर 2018 में निम्नलिखित में से किस संस्थान में पहला भारतीय रेलवे विश्वविद्यालय स्थापित किया गया था?,भारतीय राष्ट्रीय रेल अकादमी - वडोदरा,इंडियन रेलवे स्कूल - पुणे,भारतीय राष्ट्रीय रेल अनुसंधान संस्थान - मैसूर,भारतीय रेल कोच संस्थान - कपूरथला,A,भारतीय राष्ट्रीय रेल अकादमी - वडोदरा,,Medium,MCQ,,
BPSC_64_070,2018,General Studies,,JIMEX 2018 किससे संबंधित है?,जापान-भारत संयुक्त सैन्य प्रदर्शनी,जापान-भारत समुद्री अभ्यास,जापान-भारत संयुक्त मोटर वाहन प्रदर्शनी,जापान-भारत संयुक्त मिसाइल कार्यक्रम,B,जापान-भारत समुद्री अभ्यास,,Medium,MCQ,,
BPSC_64_071,2018,Environment,,सितंबर 2018 में वायु प्रदूषण नियंत्रण प्रणाली 'वायु' किस शहर/राज्य में स्थापित की गई थी?,चेन्नई,अमृतसर,दिल्ली,वाराणसी,C,दिल्ली,,Medium,MCQ,,
BPSC_64_072,2018,Economy,,"निम्नलिखित में से किसके तहत, श्री नीतीश मुख्यमंत्री उमर ने 6 जनवरी, 2018 को खगड़िया और बेगुसराय जिलों में 750 से अधिक विकास योजनाएं शुरू कीं?",विकास यात्रा,विकास सर्वेक्षण यात्रा,"नव-सृजन योजना, 2018",विकास समीक्षा यात्रा,D,विकास समीक्षा यात्रा,,Medium,MCQ,,
BPSC_64_073,2018,Bihar Special,,"16 मार्च, 2018 को उपमुख्यमंत्री श्री सुशील मोदी ने किस शहर में बिहार के पहले 'स्टार्ट-अप हब' का उद्घाटन किया?",मोतिहारी,मुंगेर,पटना,आरा,C,पटना,,Medium,MCQ,,
BPSC_64_074,2018,Polity,,"On 22nd March, 2018 who unveiled the book, Neel Ke Dhabbe on the occasion of 106th Bihar Day in Patna?",उपराष्ट्रपति श्री वेंकैया नायडू,प्रधानमंत्री श्री नरेन्द्र मोदी,गृह मंत्री श्री राजनाथ सिंह,अध्यक्ष श्रीमती. महाजन सुमित्रा,A,उपराष्ट्रपति श्री वेंकैया नायडू,,Medium,MCQ,,
BPSC_64_075,2018,General Studies,,मधेपुरा लोकोमोटिव फैक्ट्री में बने भारत के सबसे शक्तिशाली इलेक्ट्रिक लोकोमोटिव इंजन की क्षमता है,9000 एचपी,10000 एचपी,11000 एचपी,12000 एचपी,D,12000 एचपी,,Medium,MCQ,,
BPSC_64_076,2018,Bihar Special,,"10 अप्रैल, 2018 को, प्रधान मंत्री श्री नरेंद्र मोदी ने 'स्वच्छाग्रही राष्ट्रीय सम्मेलन' को संबोधित किया",मोतिहारी,पटना,किशनगंज,कटिहार,A,मोतिहारी,,Medium,MCQ,,
BPSC_64_077,2018,Science,,अप्रैल 2018 में एनडीएमए ने किस हवाई अड्डे पर सीबीआरएन आपातकाल पर आधारित एक मॉक ड्रिल आयोजित की?,आईजीआई-नई दिल्ली,एलएनजेपी-पटना,सीएसआई - मुंबई,डीएबीएच - इंदौर,B,एलएनजेपी-पटना,,Medium,MCQ,,
BPSC_64_078,2018,Bihar Special,,"एक रिपोर्ट के अनुसार, दिसंबर 2017 से फरवरी 2018 के बीच 4G सिग्नल की उपलब्धता के अनुसार 20 शहरों में से पटना शहर का स्थान क्या है?",पहला,दूसरा,उन्नीसवां,ट्वेंटिएथ,A,पहला,,Medium,MCQ,,
BPSC_64_079,2018,Bihar Special,,बिहार के किस शहर में सुलभ इंटरनेशनल ने सबसे सस्ती पेयजल परियोजना 'सुलभ जल' लॉन्च की?,पटना,भागलपुर,दरभंगा,पूर्णिया,C,दरभंगा,,Medium,MCQ,,
BPSC_64_080,2018,Bihar Special,,बिहार की मुख्यमंत्री कन्या उत्थान योजना के बारे में निम्नलिखित में से कौन सा सत्य नहीं है?,"योजना के लिए प्रस्तावित वार्षिक व्यय 7,221 करोड़ रुपये है","शिक्षा, स्वास्थ्य और समाज कल्याण तीनों विभाग ने योजना चलायी","प्रत्येक बालिका को उसके जन्म से लेकर स्नातक स्तर की शिक्षा तक कुल 60,000 रुपये मिलेंगे","लड़की के जन्म के समय उसके परिवार को 2,000 रुपये मिलते हैं",E,उपरोक्त में से कोई नहीं/उपर्युक्त में से एक से अधिक उत्तर दिखाएँ/छिपाएँ,,Medium,MCQ,,
BPSC_64_081,2018,Geography,,भारत में पशुपालन और कृषि का सबसे पहला साक्ष्य कहाँ से मिला है?,अंजीरा,दंब सादात,किली गुल मुहम्मद,मेहरगढ़,D,मेहरगढ़,,Medium,MCQ,,
BPSC_64_082,2018,Ancient History,,भगवान बुद्ध के महापरिनिर्वाण के बाद प्रथम बौद्ध संगीति कहाँ आयोजित की गई थी?,राजगृह (राजगीर),गया,पाटलिपुत्र,वैशाली,A,राजगृह (राजगीर),,Medium,MCQ,,
BPSC_64_083,2018,General Studies,,निम्नलिखित में से किसने सबसे पहले बड़े पैमाने पर सोने के सिक्के जारी किये?,पुष्यमित्र शुंग,मेनांडर,विमा कडफिसेस,गौतमीपुत्र सातकर्णि,C,विमा कडफिसेस,,Medium,MCQ,,
BPSC_64_084,2018,Ancient History,,निम्नलिखित में से सबसे पहले किसने यह समझाया कि पृथ्वी का अपनी धुरी पर घूमने से सूर्य का दैनिक उदय और अस्त होता है?,आर्यभट्ट,भास्कर,ब्रह्मगुप्त,वराहमिहिर,A,आर्यभट्ट,,Medium,MCQ,,
BPSC_64_085,2018,Ancient History,,"सुवर्णभूमि का शासक, जिसने नालंदा में एक बौद्ध मठ की स्थापना की और अपने राजदूत के माध्यम से देवपाल से इसके रखरखाव के लिए पांच गाँव देने का अनुरोध किया, वह था",धरणीन्द्र,संग्रामधनंजय,Balaputradewa,चूड़ामणिवर्मन,C,Balaputradewa,,Medium,MCQ,,
BPSC_64_086,2018,General Studies,,पेरिप्लस ऑफ़ द एरिथ्रियन सी किसने लिखी थी?,क्टेसियस,प्लिनी,टॉलेमी,स्ट्रैबो,E,उपरोक्त में से कोई नहीं/उपर्युक्त में से एक से अधिक उत्तर दिखाएँ/छिपाएँ,,Medium,MCQ,,
BPSC_64_087,2018,Bihar Special,,सबसे पहला विवरण बख्तियार खिलजी के बिहार पर आक्रमण का है,तारीख-ए हिंद,तबकात-ए नासिरी,ताज-उल मासीर,तारीख-ए मुबारक शाही,B,तबकात-ए नासिरी,,Medium,MCQ,,
BPSC_64_088,2018,Modern History,,किस सुल्तान ने पैमाइश के बाद भूमि की आधी फसल राजस्व के रूप में मांगी?,इल्तुतमिश,बलबन,अलाउद्दीन खिलजी,मुहम्मद बिन तुगलक,C,अलाउद्दीन खिलजी,,Medium,MCQ,,
BPSC_64_089,2018,General Studies,,शेख बहाउद्दीन जकारिया किस संप्रदाय के थे?,सुहरावर्दी सिलसिला,ऋषि सिलसिला,चिश्ती सिलसिला,फिरदौसी सिलसिला,A,सुहरावर्दी सिलसिला,,Medium,MCQ,,
